case_id,pool,family,expected_behavior,gold_mode,required_prop_id,required_prop_text,support_ref,support_role,extractive_exact_match,deterministic_normalized_match,structural_certificate_match,sentinel_atomic_mapping_pass,context_or_distractor_used_as_authority,hostile_semantic_review_required,PASS_FAIL,reason
R2O-PG-H024,holdout,lexical_similarity_low_relevance,abstain,context_only,R2O-PG-H024-PROP01,"The policy should include completion criteria, no-progress limits, repeated-failure limits, authority ambiguity, unsafe mutation attempts, expired permissions, missing dependencies, and user cancellation.",R2O-PG-H024-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H025,holdout,insufficient_evidence,abstain,context_only,R2O-PG-H025-PROP01,Goal drift is detectable only when there is a stable contract to compare against.,R2O-PG-H025-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H026,holdout,universalization_negative,abstain,context_only,R2O-PG-H026-PROP01,"A proposal should include the tool name, intended action, arguments, expected effect, risk class, and evidence or context.",R2O-PG-H026-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H027,holdout,causal_strengthening_negative,abstain,context_only,R2O-PG-H027-PROP01,This canonical concept accounts for Source PR #19 review item `m23review_c3b0082d594d591018a417614574b098` with Daniel's `edit` decision.,R2O-PG-H027-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H028,holdout,modality_necessity_strengthening_negative,abstain,context_only,R2O-PG-H028-PROP01,"Every execution structure should define:

- trace and correlation identifiers;
- persisted state when interruption or recovery is possible;
- typed retryable, permanent, policy, and user errors;
- timeout and cancellation behavior;
- bounded retry with backoff;
- idempotency for side effects;
- fallback and escalation rules;
- cost, token, tool, and concurrency budgets;
- permission and data-access checks;
- provenance and citation preservation;
- terminal outcomes and completion criteria;
- observability at the stage or transition where failure occurs.",R2O-PG-H028-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H032,holdout,impact_effect,abstain,context_only,R2O-PG-H032-PROP01,"The gate may accept, reject, request repair, defer for human decision, or mark the task blocked. It should rely on durable evidence rather than a model claim that the work is done.",R2O-PG-H032-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H033,holdout,examples,answer,extractive,R2O-PG-H033-PROP01,"Drift should be handled by re-contracting the task, recording a new decision, or stopping. It should not be hidden inside implementation details.",R2O-PG-H033-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H034,holdout,architecture_components,abstain,context_only,R2O-PG-H034-PROP01,"Every execution structure should define:

- trace and correlation identifiers;
- persisted state when interruption or recovery is possible;
- typed retryable, permanent, policy, and user errors;
- timeout and cancellation behavior;
- bounded retry with backoff;
- idempotency for side effects;
- fallback and escalation rules;
- cost, token, tool, and concurrency budgets;
- permission and data-access checks;
- provenance and citation preservation;
- terminal outcomes and completion criteria;
- observability at the stage or transition where failure occurs.

The best execution path is not the diagram with the most nodes. It is the smallest reviewable control structure that produces the required result, exposes failure clearly, and recovers without repeating unsafe effects.",R2O-PG-H034-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H035,holdout,capability_skill_requirement,answer,extractive,R2O-PG-H035-PROP01,"A highly harnessable workflow has stable inputs, explicit authority, deterministic or inspectable effects, typed failures, replayable evidence, and clear completion gates. Low harnessability calls for smaller scopes, stronger adapters, or human review before automation.",R2O-PG-H035-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H036,holdout,enumerative_list,answer,extractive,R2O-PG-H036-PROP01,"Use the least flexible mechanism that can reliably complete the task:

1. keep deterministic work in fixed logic;
2. add bounded ReAct when the next useful action depends on an observation;
3. add Plan-and-Execute when global coverage, ordering, dependencies, or visible progress matter;
4. add adaptive replanning only when material premises can change and valid triggers can be detected;
5. add hierarchy when a flat plan is too large or subgoals need distinct ownership and context;
6. use HTN when governed domain procedures can be modelled;
7. use an external planner or solver when formal feasibility or optimisation is required.

The production objective is deliberate placement of flexibility, not maximum planning freedom. Fixed outer control, explicit plans where global coverage matters, bounded local adaptation where observations matter, verification before acceptance, and versioned replanning after real invalidation form a more reliable system than any one pattern used everywhere.",R2O-PG-H036-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H037,holdout,multi_part,answer,extractive,R2O-PG-H037-PROP01,"The item turn thread protocol is a harness interaction model that separates typed interaction items, pausable work turns, and durable threads.",R2O-PG-H037-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H038,holdout,broad_synthesis,answer,extractive,R2O-PG-H038-PROP01,LLM agent architectures should be reviewed across separate engineering dimensions because multiple patterns can coexist at different layers of one production system.,R2O-PG-H038-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H039,holdout,narrow_factual,answer,extractive,R2O-PG-H039-PROP01,"Durable thread state is persistent interaction state that survives client disconnects, spans turns, and preserves enough context to resume without repeating unsafe side effects.",R2O-PG-H039-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H039,holdout,narrow_factual,answer,extractive,R2O-PG-H039-PROP01,"Durable thread state is persistent interaction state that survives client disconnects, spans turns, and preserves enough context to resume without repeating unsafe side effects.",R2O-PG-H039-SUP02,comparison_peer,True,True,,,False,False,PASS,ok
R2O-PG-H040,holdout,ambiguous_clarification,clarify-compatible,extractive,R2O-PG-H040-PROP01,"In this Source adoption, harnessability is not a general quality word. It refers specifically to whether work can be bounded by a task contract, observed through durable state, verified with evidence, stopped safely, and resumed or handed off without relying on hidden chat memory.",R2O-PG-H040-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H041,holdout,partially_sufficient_evidence,partial,extractive,R2O-PG-H041-PROP01,"The request boundary is the first point where ACLs, tenant isolation, secret redaction, and mutation authority can be enforced before any model or tool observes the task.",R2O-PG-H041-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H042,holdout,short_query,answer,extractive,R2O-PG-H042-PROP01,"A useful harness makes proposals, tool calls, observations, approvals, failures, retries, and terminal outcomes visible as governed state. It gives an operator a stable place to inspect and steer work without granting the agent unrestricted authority.",R2O-PG-H042-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H043,holdout,long_compositional_query,answer,extractive,R2O-PG-H043-PROP01,"Plan-and-Execute creates a global task structure before carrying out individual steps. It is best treated as a pattern family rather than one canonical algorithm.

A useful plan exposes requirements, ordering, dependencies, delegation, expected outputs, and completion state. It is appropriate for long research, multi-document review, migrations, large code changes, comparisons, and other work where omissions or hidden dependencies are costly.

A plan must be executable rather than ceremonial. Each step should include:

- stable step identifier;
- objective;
- required inputs;
- dependencies;
- allowed tools;
- expected structured output;
- observable completion criteria;
- failure policy;
- budget;
- provenance requirements;
- lifecycle status.

A polished plan is still only a proposal. It may omit a requirement, assume unavailable data, violate a precondition, use a forbidden capability, or decompose the wrong problem.",R2O-PG-H043-SUP01,primary,True,True,,,False,False,PASS,ok
R2O-PG-H044,holdout,temporal_version,abstain,structural,R2O-PG-H044-PROP01,Only 1 record is available; a newer-version ordering cannot be established.,R2O-PG-H044-SUP01,primary,False,False,PASS,,False,False,PASS,ok
SENTINEL-Q1-A,sentinel,simple_definition,answer,sentinel_synthesis,SENTINEL-Q1-A-PROP01,"Exposure rules are not a technical footnote. They are the law of the denominator. Many PMs know they need randomisation. Far fewer treat the exposure rule as a first-class decision. That is risky, because assignment is not the same thing as exposure. Without that layer, a great deal of apparent lift is really stage dressing. A good exposure rule should answer three questions: what is the trigger point, what is the analysis unit, and how do repeated exposures count.",SENTINEL-Q1-A-SUP01,primary,True,True,,PASS,False,True,PASS,ok
SENTINEL-Q1-A,sentinel,simple_definition,answer,sentinel_synthesis,SENTINEL-Q1-A-PROP02,"## Put research back into the PM workflow. Analytics should help you find anomalies, patterns, and segments. Research should help you recover meaning, context, and decision logic. In practice, the flow often looks like this: use analytics to find where the drop is, write down competing hypotheses, decide what can only be separated by listening to users or seeing the work in context, run interviews/field study/diary study/usability session, and feed findings back into tracking, funnel definitions, messaging, and hypotheses.",SENTINEL-Q1-A-SUP02,primary,True,True,,PASS,False,True,PASS,ok
SENTINEL-Q1-A,sentinel,simple_definition,answer,sentinel_synthesis,SENTINEL-Q1-A-PROP03,"PM Product Data and Experimentation 06 - Retention, Cohorts, and Segmentation: Knowing Who Stays Matters More Than Watching the Average. A product can look healthier than it really is simply because averages are excellent at cosmetics.",SENTINEL-Q1-A-SUP03,primary,True,True,,PASS,False,True,PASS,ok
SENTINEL-Q1-B,sentinel,contextual_definition,answer,sentinel_synthesis,SENTINEL-Q1-B-PROP01,"## Sessionisation is not a fact of nature. It is a modelling choice. A session is not a naturally occurring object waiting to be discovered. It is a boundary you define so that behaviour can be analysed in a tractable way. Different tools make different choices. GA4 defines a session as a period of user interaction and, by default, times it out after 30 minutes of inactivity. PostHog also groups events into sessions and starts a new one by default after 30 minutes of inactivity or after 24 hours. Cohorts and retention often matter more.",SENTINEL-Q1-B-SUP01,primary,True,True,,PASS,False,True,PASS,ok
SENTINEL-Q1-B,sentinel,contextual_definition,answer,sentinel_synthesis,SENTINEL-Q1-B-PROP02,"## Put research back into the PM workflow. Analytics should help you find anomalies, patterns, and segments. Research should help you recover meaning, context, and decision logic. In practice, the flow often looks like this: use analytics to find where the drop is, write down competing hypotheses, decide what can only be separated by listening to users or seeing the work in context, run interviews/field study/diary study/usability session, and feed findings back into tracking, funnel definitions, messaging, and hypotheses.",SENTINEL-Q1-B-SUP02,primary,True,True,,PASS,False,True,PASS,ok
SENTINEL-Q1-B,sentinel,contextual_definition,answer,sentinel_synthesis,SENTINEL-Q1-B-PROP03,"Exposure rules are not a technical footnote. They are the law of the denominator. Many PMs know they need randomisation. Far fewer treat the exposure rule as a first-class decision. That is risky, because assignment is not the same thing as exposure. Without that layer, a great deal of apparent lift is really stage dressing. A good exposure rule should answer three questions: what is the trigger point, what is the analysis unit, and how do repeated exposures count.",SENTINEL-Q1-B-SUP03,primary,True,True,,PASS,False,True,PASS,ok
SENTINEL-Q1-B,sentinel,contextual_definition,answer,sentinel_synthesis,SENTINEL-Q1-B-PROP04,"PM Product Data and Experimentation 06 - Retention, Cohorts, and Segmentation: Knowing Who Stays Matters More Than Watching the Average. A product can look healthier than it really is simply because averages are excellent at cosmetics.",SENTINEL-Q1-B-SUP04,primary,True,True,,PASS,False,True,PASS,ok
SENTINEL-Q1-C,sentinel,role_responsibility,answer,sentinel_synthesis,SENTINEL-Q1-C-PROP01,"## Start with a familiar mistake. Imagine you work on a hotel-booking product. One week, you open the dashboard and notice that Start Booking Rate is broadly flat, but Payment Success Rate has fallen sharply. The same drop in payment completion might mask very different realities; the problem is not a lack of volume, it is that you are assigning too much meaning to the event itself.",SENTINEL-Q1-C-SUP01,primary,True,True,,PASS,False,True,PASS,ok
SENTINEL-Q1-C,sentinel,role_responsibility,answer,sentinel_synthesis,SENTINEL-Q1-C-PROP02,"## Put research back into the PM workflow. Analytics should help you find anomalies, patterns, and segments. Research should help you recover meaning, context, and decision logic. In practice, the flow often looks like this: use analytics to find where the drop is, write down competing hypotheses, decide what can only be separated by listening to users or seeing the work in context, run interviews/field study/diary study/usability session, and feed findings back into tracking, funnel definitions, messaging, and hypotheses.",SENTINEL-Q1-C-SUP02,primary,True,True,,PASS,False,True,PASS,ok
SENTINEL-Q1-C,sentinel,role_responsibility,answer,sentinel_synthesis,SENTINEL-Q1-C-PROP03,"## Sessionisation is not a fact of nature. It is a modelling choice. A session is not a naturally occurring object waiting to be discovered. It is a boundary you define so that behaviour can be analysed in a tractable way. Different tools make different choices. GA4 defines a session as a period of user interaction and, by default, times it out after 30 minutes of inactivity. PostHog also groups events into sessions and starts a new one by default after 30 minutes of inactivity or after 24 hours. Cohorts and retention often matter more.",SENTINEL-Q1-C-SUP03,primary,True,True,,PASS,False,True,PASS,ok
SENTINEL-Q1-C,sentinel,role_responsibility,answer,sentinel_synthesis,SENTINEL-Q1-C-PROP04,"Exposure rules are not a technical footnote. They are the law of the denominator. Many PMs know they need randomisation. Far fewer treat the exposure rule as a first-class decision. That is risky, because assignment is not the same thing as exposure. Without that layer, a great deal of apparent lift is really stage dressing. A good exposure rule should answer three questions: what is the trigger point, what is the analysis unit, and how do repeated exposures count.",SENTINEL-Q1-C-SUP04,primary,True,True,,PASS,False,True,PASS,ok
SENTINEL-Q2-A,sentinel,contextual_definition,answer,sentinel_synthesis,SENTINEL-Q2-A-PROP01,"Skill | What method should the agent follow for this class of task? | SOP, tool order, decision rules, acceptance criteria",SENTINEL-Q2-A-SUP01,primary,True,True,,PASS,False,True,PASS,ok
SENTINEL-Q2-B,sentinel,capability_skill_requirement,abstain,context_only,SENTINEL-Q2-B-PROP01,"Skill | What method should the agent follow for this class of task? | SOP, tool order, decision rules, acceptance criteria",SENTINEL-Q2-B-SUP01,primary,True,True,,,False,True,PASS,ok
SENTINEL-Q2-C,sentinel,narrow_factual,answer,sentinel_synthesis,SENTINEL-Q2-C-PROP01,"Skill | What method should the agent follow for this class of task? | SOP, tool order, decision rules, acceptance criteria",SENTINEL-Q2-C-SUP01,primary,True,True,,PASS,False,True,PASS,ok
SENTINEL-Q3-CONTROL,sentinel,relationship,answer,sentinel_synthesis,SENTINEL-Q3-CONTROL-PROP01,"Research should help you recover meaning, context, and decision logic.",SENTINEL-Q3-CONTROL-SUP01,primary,True,True,,PASS,False,True,PASS,ok
